GGEM|8.4,7.2,5.6,4.7,0|10.3,7.3,6.6,4.1,0.8
GLPH|11.7,8.6,9.9,11.4,8.0|4.9,15.0,21.7,20.0,30.1
PARA|3.2,6.0,9.5,11.6,0.3|14.1,20.3,25.1,24.8,39.6
GMRI|0,44.2,390.0,-1.6,0|-30.7,-67.0,-10.8,-6.1,-14.2
GDFR|21.9,22.9,24.5,23.7,22.7|31.5,29.6,28.5,28.6,32.7
GDCN|22.2,21.4,23.5,20.6,17.5|29.1,20.0,20.4,21.5,21.1
GDSP|19.1,15.0,18.0,14.6,12.1|60.0,51.5,43.1,41.8,46.2
GPL|23.9,22.6,25.0,20.9,0|43.5,31.7,32.0,27.7,30.1
GOEX|0,0,0,0,0|3.8,-0.6,-1.2,-79.6,2.3
GOL|4.6,35.5,-25.0,0,0|18.8,-173.4,405.3,-126.5,-89.0
GDRK|23.1,43.2,29.1,43.7,-67.1|25.7,27.1,31.4,23.4,-49.7
GDYR|25.0,28.7,22.1,22.8,22.5|32.9,33.5,33.7,34.0,35.0
CNEV|32.2,50.9,52.6,67.8,63.6|31.3,38.3,40.0,45.1,44.2
GRSM|7.8,7.6,9.3,9.5,8.9|28.0,30.4,20.5,29.4,27.8
GRVS|29.0,18.1,26.4,25.7,73.0|31.0,33.4,29.3,30.9,15.7
GRNPY|8.2,10.3,8.5,6.1,6.2|13.2,19.7,17.2,24.0,23.1
GRNR|35.0,37.0,42.9,34.9,34.4|30.6,28.3,30.7,32.3,33.3
GRFN|33.7,30.6,30.5,35.7,34.3|0,0,0,0,0
SBCH|41.4,43.3,28.1,39.6,42.9|33.0,32.7,33.6,34.4,34.9
GLXO|88.9,75.4,87.9,112.2,112.9|19.8,27.7,33.5,34.8,35.1
GBTL|4.9,0,0,0,0|27.1,-4.5,-0.6,-6.1,-1.5
GUSP|10.3,10.3,10.5,13.5,13.9|32.7,31.1,34.9,36.5,37.2
GJAX|8.9,16.6,9.8,8.7,13.8|21.9,17.8,22.3,18.5,21.9
GAPL|12.6,26.4,17.8,66.3,2.3|34.8,38.4,36.9,36.1,-16.3
GJPW|23.2,32.0,17.3,20.3,29.9|-4.7,15.5,45.9,27.8,45.9
GMDC|25.4,19.6,15.9,21.7,19.1|35.8,32.2,32.8,30.3,25.7
GNFC|40.8,19.0,19.2,19.9,18.6|43.7,30.1,32.0,35.3,31.0
